ADDRESS,LATITUDE,LONGITUDE,POSTAL CODE,NETWORK,PORT TYPE,AVAILABLE PORT,CHARGING FEE,ACCESSIBILITY,Operating Time,ACTIVATION METHOD
701 W Georgia St,49.28321964,-123.118031,V7Y 1G5,Flo,EV Plug (J1772),7,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
7309 Knight St,49.21790691,-123.0776357,V5P 2X1,On the Run,CCS & CHAdeMO,4,Free,Public,00:00 to 24:00,Network App
745 Thurlow St,49.28545154,-123.1242809,V6E 1V8,ChargePoint,EV Plug (J1772),6,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
750 W Pender St,49.28513892,-123.1159331,V6C 1G8,Flo,EV Plug (J1772),14,Free,Public,00:00 to 24:00,"Network App,Network RFID"
750 W Pender St,49.28513892,-123.1159331,V6C 1G8,Flo,EV Plug (J1772),14,Free,Public,00:00 to 24:00,"Network App,Network RFID"
775 Hamilton St,49.27951686,-123.115166,V6B 6B3,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
777 Hornby St,49.28319814,-123.1218383,V6Z 1S4,ChargePoint,EV Plug (J1772),6,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
777 Richards,49.28070356,-123.1174706,V6B 1A6,ChargePoint,EV Plug (J1772),1,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
777 Richards St,49.28135422,-123.1172813,V6B 0M6,ChargePoint,EV Plug (J1772),4,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
788 Richards St,49.28073168,-123.1165284,V6B 3A4,Tesla,EV Plug (J1772),2,Free,Public,00:00 to 24:00,No network activation required
790 Terminal Ave,49.26974458,-123.086391,V6A 2M5,ChargePoint,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
799 Robson St,49.28208225,-123.1200862,V7Y 0A2,Tesla,EV Plug (J1772),22,Varies,Public,00:00 to 24:00,Network App
80 Walter Hardwick Ave,49.27100778,-123.1057406,V5Y 0C3,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
8265 Fraser St,49.21023716,-123.0922648,V5X 3X9,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
8277 Ontario St,49.21105843,-123.107628,V5X 0A7,Flo,CCS & CHAdeMO,3,$20.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
8320 Oak St,49.21056209,-123.1297213,V6P 4B1,On the Run,CCS & CHAdeMO,2,Free,Public,07:00 to 24:00,Network App
833 W Pender St,49.28591914,-123.1163804,V6C 1K7,Flo,EV Plug (J1772),7,$10.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
833 W Pender St,49.28591914,-123.1163804,V6C 1K7,Flo,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"Network App,Network RFID"
845 Avison Way,49.30047205,-123.1302292,V6G 3E2,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
845 Avison Way,49.299534,-123.13022,V6G 3E2,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
850 W 12th Ave,49.26016193,-123.1239596,V5Z 1N1,Flo,CCS & CHAdeMO,1,$9.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
8655 Boundary Rd,49.20484829,-123.023984,V5S 4N3,Shell Recharge,CCS & CHAdeMO,3,$26.79/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
872 Richards St,49.279403,-123.118908,V6B 3B4,ChargePoint,EV Plug (J1772),1,$4.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
872 Richards St,49.279403,-123.118908,V6B 3B4,ChargePoint,CCS & CHAdeMO,1,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
885 W Georgia,49.28402275,-123.1193942,V6C 2G2,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
888 Dunsmuir,49.28461965,-123.1183258,V6C 3K4,Flo,EV Plug (J1772),5,$6.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
899 W 12th Ave,49.2611366,-123.1244712,V5Z 1M9,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
900 Burrard,49.28219694,-123.1243895,V6Z 3G5,Flo,EV Plug (J1772),6,Free,Public,00:00 to 24:00,"Network App,Network RFID"
900 Cordova St,49.28710662,-123.1148642,V6C 0A7,Flo,EV Plug (J1772),5,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
900 W George St,49.28384735,-123.1207718,V6C 2W6,None,EV Plug (J1772),1,Free,Public,00:00 to 24:00,No network activation required
900 W George St,49.28384735,-123.1207718,V6C 2W6,Tesla,Tesla,1,Free,Public,00:00 to 24:00,No network activation required
909 Mainland St,49.27781596,-123.1178856,V6B 1S3,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
925 W Georgia St,49.28424165,-123.1199767,V6C 3L2,ChargePoint,EV Plug (J1772),16,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
930 Seymour St,49.27892566,-123.1210492,V6B 1B4,Flo,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"Network App,Network RFID"
930 Seymour St,49.27892566,-123.1210492,V6B 1B4,Flo,EV Plug (J1772),2,$2.20/hr,Public,00:00 to 24:00,"Network App,Network RFID"
938 W 28th Ave,49.245916,-123.1257091,V5Z 4H4,ChargePoint,EV Plug (J1772),1,$0.15/hr,Restricted,00:00 to 24:00,Unknown activation method
959-979 Mainland St,49.27684,-123.11887,V6B 1A9,ChargePoint,EV Plug (J1772),2,$4.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
980 Howe St,49.28005306,-123.1234702,V6Z 0C8,Flo,EV Plug (J1772),8,Free,Public,00:00 to 24:00,"Network App,Network RFID"
988 W Broadway,49.2633308,-123.1261393,V5Z 1K7,Flo,EV Plug (J1772),4,Free,Public,06:00 to 17:00,"Network App,Network RFID"
988 W Broadway,49.2633308,-123.1261393,V5Z 1K7,ChargePoint,EV Plug (J1772),6,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
999 W Hastings St,49.28746723,-123.116036,V6C,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
Beach Ave. and Broughton St,49.281483,-123.139793,V6G 2X3,Shell Recharge,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App"
Beach Ave. and Broughton St,49.281483,-123.139793,V6G 1B9,Blink,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
Beach Ave. and Bute St,49.278736,-123.137209,V6E 1V3,Shell Recharge,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App"
Beach Ave. and Cardero St,49.283155,-123.142173,V6G 1B9,Blink,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App"
Beach Ave. and Cardero St,49.283155,-123.142173,V6G 1B9,Shell Recharge,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App"
6278 Northwest Marine Drive,49.26968738,-123.2569299,V6T 1Z1,None,EV Plug (J1772),10,$1.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
6115 Student Union Boulevard,49.26917088,-123.251066,V6T 1Z1,None,EV Plug (J1772),10,$1.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
6163 University Boulevard,49.26606992,-123.2496131,V6T 1Z3,None,EV Plug (J1772),12,$1.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
6163 University Boulevard,49.26606992,-123.2496131,V6T 1Z3,None,CCS & CHAdeMO,3,$1.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
6131 University Boulevard,49.26630149,-123.2490761,V6T 1Z1,SWTCH,EV Plug (J1772),12,$3.00/hr,Public,00:00 to 24:00,"Visa,Mastercard"
6131 University Boulevard,49.26630149,-123.2490761,V6T 1Z1,SWTCH,CCS & CHAdeMO,4,$3.00/hr,Public,00:00 to 24:00,"Visa,Mastercard"
2140 Lower Mall,49.26307173,-123.2553685,V6T 1Z2,None,EV Plug (J1772),10,$1.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
2140 Lower Mall,49.26307173,-123.2553685,V6T 1Z2,SWTCH,EV Plug (J1772),10,$3.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
2250 Health Sciences Mall,49.26354542,-123.2476875,V6T 1Z3,None,EV Plug (J1772),10,$1.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
2250 Health Sciences Mall,49.26354542,-123.2476875,V6T 1Z3,SWTCH,EV Plug (J1772),10,$3.00/hr,Public,00:00 to 24:00,"Interact, Visa,Mastercard,American Express"
6085 Thunderbird Boulevard,49.26079831,-123.2445016,V6T 1Z3,SWTCH,EV Plug (J1772),8,$3.00/hr,Public,08:00 to 16:00,"Visa,Mastercard"
6333 Larkin Drive,49.25743469,-123.248062,V6T 1Z4,None,EV Plug (J1772),2,Free,Restricted,00:00 to 24:00,Unknown activation method
3228 Ross Drive,49.25413786,-123.2397978,V6S 0C6,None,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1200 West 73rd Avenue,49.20430479,-123.133303,V6P 6G5,SWTCH,EV Plug (J1772),6,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
3488 Sawmill Crescent,49.20588532,-123.0315078,V5S 4R7,SWTCH,EV Plug (J1772),4,$2.00/hr,Public,07:00 to 22:00,"ChargeHub App,Network App,Network RFID"
8538 River District Crossing,49.2066637,-123.0307924,V9B 6A2,SWTCH,EV Plug (J1772),7,$2.00/hr,Public,07:00 to 22:00,"ChargeHub App,Network App,Network RFID"
1325 Boundary Road,49.27301877,-123.0242091,V5K 4T9,SWTCH,EV Plug (J1772),5,$1.75/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
1315 Kootenay Street,49.27284797,-123.0284577,V5K 4Y3,None,EV Plug (J1772),2,Free,Public,08:00 to 18:00,Unknown activation method
3095 Hebb Avenue,49.26037891,-123.0384373,V5M 4P7,ChargeLab,CCS & CHAdeMO,14,Free,Public,00:00 to 24:00,Network App
8199-Cambie-St,49.2107131,-123.1184495,V6P 3J8,SWTCH,EV Plug (J1772),2,$2.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
7413-Cambie-St,49.21784896,-123.1172586,V6P 6E8,SWTCH,EV Plug (J1772),2,$2.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
449 East 44th Avenue,49.23055639,-123.0952621,V5W 1W2,ChargeLab,EV Plug (J1772),2,$0.16/kWh,Public,00:00 to 24:00,Network App
749 West 49th Avenue,49.22690264,-123.1232528,V5Z 2S6,Hypercharge,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
650 West 41st Avenue,49.23345509,-123.1177868,V5Z 2M9,Hypercharge,EV Plug (J1772),1,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
4480 Oak Street,49.24502286,-123.1234108,V6H 3N1,None,EV Plug (J1772),2,Free,Public,00:00 to 24:00,Unknown activation method
333 East 11th Avenue,49.26131731,-123.0973692,V5T 3J5,EVStart,EV Plug (J1772),2,$1.95/hr,Restricted,00:00 to 24:00,Network App
1783 West 14th Avenue,49.25951165,-123.1455165,V6J 2J6,ChargeLab,EV Plug (J1772),10,$0.16/kWh,Public,00:00 to 24:00,Network App
1758 West 8th Avenue,49.26467961,-123.1445393,V6J 1V6,Hypercharge,EV Plug (J1772),2,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
1580 West Broadway,49.2636262,-123.1405264,V6J 5K8,ChargePoint,EV Plug (J1772),4,Free,Public,05:00 to 24:00,"Network App,Network RFID"
1580 West Broadway,49.2636262,-123.1405264,V6J 5K8,Sun Country Highway,EV Plug (J1772),3,Free,Public,05:00 to 24:00,"Network App,Network RFID"
1432 West 6th Avenue,49.26619429,-123.1366749,V6H 4E9,ChargeLab,EV Plug (J1772),6,$1.50/hr,Public,00:00 to 24:00,Network App
899 West 12th Avenue,49.26116461,-123.1245355,V5Z 1M9,None,EV Plug (J1772),4,Free,Public,00:00 to 24:00,Unknown activation method
550 West Broadway,49.2631347,-123.1167032,V5Z 1E9,Hypercharge,EV Plug (J1772),4,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
425 West 6th Avenue,49.26601369,-123.1132046,V5Y 1L3,Hypercharge,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
425 West 6th Avenue,49.26606269,-123.1133119,V5Y 1L3,Hypercharge,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
1611-Main-St,49.27156708,-123.1007687,V6A 2W5,SWTCH,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
180 Keefer Street,49.27947454,-123.1008701,V6A 4E9,Blink,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
88 Pacific Boulevard,49.27725365,-123.1061475,V6Z 2R6,None,EV Plug (J1772),1,Free,Restricted,10:00 to 17:00,Unknown activation method
858 Beatty Street,49.27695916,-123.1148642,V6B 1C1,SWTCH,EV Plug (J1772),4,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
1388-Richards-St,49.27398927,-123.1267578,V6B 3G6,SWTCH,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
1155 Beach Avenue,49.27913056,-123.1363894,V6E 1V2,Blink,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1100 Granville Street,49.27791136,-123.1246336,V6Z 2B6,TurnOnGreen,EV Plug (J1772),2,Free,Public,00:00 to 24:00,Network App
855 Jervis Street,49.28669584,-123.1296559,V6E 2B2,EVStart,EV Plug (J1772),2,$2.95/hr,Public,00:00 to 24:00,Network App
1081 Burrard Street,49.28066465,-123.1282541,V6Z 1Y6,None,EV Plug (J1772),16,Free,Public,00:00 to 24:00,Unknown activation method
1022 Nelson Street,49.28179656,-123.1271934,V6E 4S7,EVStart,EV Plug (J1772),12,$1.95/hr,Public,00:00 to 24:00,Network App
401 W. Georgia St,49.28143753,-123.1148147,V6B 5A1,Sun Country Highway,EV Plug (J1772),2,Free,Unknown,00:00 to 24:00,Unknown activation method
602 Dunsmuir Street,49.28319534,-123.1158161,V6B 1Y6,None,EV Plug (J1772),2,Free,Restricted,00:00 to 24:00,Unknown activation method
550-Robson-St,49.28051125,-123.118561,V6B 2B7,SWTCH,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
828 Howe Street,49.28158755,-123.1210275,V6Z 2X2,SWTCH,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
800 Burrard Street,49.28305984,-123.1230447,V6Z 2E7,Sun Country Highway,EV Plug (J1772),1,Free,Unknown,00:00 to 24:00,Unknown activation method
1177 W Hastings St,49.28896723,-123.1216254,V6E 2K3,None,EV Plug (J1772),6,$2.00/hr,Public,00:00 to 24:00,Unknown activation method
1038 Canada Place,49.28816704,-123.1163725,V6C 0B9,None,EV Plug (J1772),2,Free,Public,00:00 to 24:00,Unknown activation method
1055 West Georgia Street,49.28533894,-123.1217779,V6E 3N9,SWTCH,EV Plug (J1772),6,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
580 Hornby Street,49.28522335,-123.117666,V6C 2E7,Hypercharge,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
800 West Pender Street,49.28539695,-123.1163636,V6C 1J8,Hypercharge,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
815 West Hastings Street,49.28636134,-123.1149993,V6C 3N9,Hypercharge,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
