SCHOOL_ID,NAME,BOARD,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,POSTAL_COD,LATITUDE,LONGITUDE
368,St. Bede Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3K2J5,51.13215086,-114.0826123
369,St. Benedict School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2V1R2,50.96370297,-114.1052542
370,St. Bernadette School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2C0T8,50.99050895,-114.0090135
371,St. Bonaventure School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2J3X8,50.93218446,-114.0471277
372,St. Boniface Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J2P8,50.94331512,-114.0424983
373,St. Brigid,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3G5S6,51.14667298,-114.1881072
374,St. Catherine Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2W1P6,50.94430437,-114.0864986
375,St. Cecilia (Bilingual) Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J0Z3,50.96558002,-114.0507283
376,St. Clare,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3K5Z4,51.16495231,-114.0452755
377,St. Cyril School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2W2N9,50.95557982,-114.1291219
378,St. Damien School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2B2J1,51.02180815,-113.9921156
379,St. Dominic School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3A1C2,51.10952923,-114.1544089
380,St. Elizabeth Seton,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3A6K3,51.15099924,-114.1101712
381,St. Francis High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Senior High,N,N,N,N,Y,,51.08592883,-114.1016598
382,St. Gemma Outreach High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Senior High,N,N,N,N,Y,T1Y7K4,51.06992488,-113.9895493
383,St. Gianna School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3M0H7,50.89560634,-113.9681865
384,St. Gregory School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Junior High,N,N,N,Y,N,T3E0R6,51.03288081,-114.1619758
385,St. Helena School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2K0L8,51.1114963,-114.0666026
386,St. Henry Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2K1H5,51.1176569,-114.0801378
387,St. Hubert Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2K5J3,51.11843588,-114.0620572
388,St. Isabella School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Z4W8,50.91076125,-113.9361463
389,St. Isidore Online School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2E1W6,51.07448596,-114.0610336
390,St. James Elementary Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3E1N6,51.00118669,-114.1132837
391,St. Jean Brebeuf School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2L2J6,51.09939918,-114.1401129
392,St. Jerome Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3K5S3,51.15776701,-114.078899
393,St. Joan of Arc Elementary/Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3H0K2,51.05713794,-114.2069437
394,St. John Henry Newman School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Z2G7,50.90739463,-113.9889048
395,St. John Paul II School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3J1P6,51.10770043,-113.959539
396,St. John XXIII School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3J2C3,51.10127429,-113.9389033
397,St. Joseph Elementary Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2M3C7,51.07479381,-114.0734923
398,St. Josephine Bakhita School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3P0P2,51.17765908,-114.1044117
399,St. Jude School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2W4W4,50.94290589,-114.1334292
400,St. Kateri Tekakwitha School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A7N5,51.06162497,-113.9277104
401,St. Luke Bilingual Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2L0E1,51.09084603,-114.1228438
402,St. Margaret School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2L0K7,51.08184085,-114.0974941
403,St. Marguerite School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2Z0W1,50.92129041,-113.9356867
404,St. Maria Goretti Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3G3T7,51.13524824,-114.1791429
405,St. Mark Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A3V8,51.06318569,-113.9692917
406,St. Martha School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2A4B1,51.05656398,-113.9459307
407,St. Mary's High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2S0B8,51.03652003,-114.0645126
408,St. Matthew School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2H1N3,50.97908104,-114.0583474
409,St. Michael School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3C0G9,51.04455381,-114.1518116
410,St. Monica School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2S0C2,51.03677899,-114.0674467
411,St. Patrick School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y2X1,51.07145281,-113.9449417
412,St. Peter Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A5L9,51.04633343,-113.9488241
413,St. Philip School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J5A8,50.92822384,-114.038856
414,St. Rita School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3G2B3,51.11949382,-114.1810516
415,St. Rose of Lima Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T1Y1Z5,51.07542512,-113.9620825
416,St. Rupert School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y2W9,51.07589245,-113.9707747
417,St. Sebastian Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2X0E6,50.88450991,-114.0290357
418,St. Stephen School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2W1G6,50.95513365,-114.0835426
419,St. Sylvester School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3B4N1,51.10938499,-114.1940759
420,St. Teresa of Calcutta School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2X1T7,50.91452484,-114.0523142
421,St. Thomas Aquinas School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3E0R1,51.03105153,-114.1522056
422,St. Thomas More School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y5V4,51.0854918,-113.9456076
423,St. Vincent De Paul Elementary Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3A0K4,51.09323314,-114.1594152
424,St. Wilfrid Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y4Y1,51.09190805,-113.9689691
425,St. William School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J0T1,50.95417738,-114.0593863
426,Stanley Jones School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2E8M3,51.06058557,-114.0476654
427,Start Outreach,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T3B5C2,51.0895224,-114.2020365
428,STEM Innovation Academy High School,STEM Innovation Academy Society,Calgary,AB,Senior High,N,N,N,N,Y,T2L2K7,51.08479539,-114.1298698
429,STEM Innovation Academy Middle School,STEM Innovation Academy Society,Calgary,AB,Junior High,N,N,N,Y,N,T2V0Y1,50.96870032,-114.0883327
430,Sunalta School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3C2J9,51.0416692,-114.1111887
431,Sundance School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2X2N9,50.9004381,-114.0470758
432,Sunnyside School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2N1S2,51.05646087,-114.0795619
433,Taradale School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,,51.12135205,-113.9377379
434,Ted Harrison School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3J4L1,51.11734013,-113.9286939
435,Terrace Road School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3B1B3,51.07441956,-114.1588681
436,Terry Fox School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T3J1P7,51.10488022,-113.9455134
437,The Chinese Academy,The Chinese Academy Foundation,Calgary,AB,Senior High,N,N,N,N,Y,T2K1C2,51.11291693,-114.0688437
438,The Gilbertine Academy,The Gilbertine Institute of Catholic Studies,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2G0N1,51.04062265,-114.0304814
439,The Hamptons School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3A6G2,51.14366859,-114.1494162
440,Thomas B. Riley School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T3B2J9,51.08739426,-114.1895987
441,Thorncliffe School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2K3B9,51.1021453,-114.0668348
442,Tom Baines School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3A3S2,51.13420401,-114.1566947
443,Trinity Christian School,The Palliser School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2X2A8,50.90988879,-114.0629059
444,Tuscany School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3L2T4,51.11768845,-114.245652
445,Twelve Mile Coulee School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3L0C7,51.12388701,-114.244481
446,Tyndale Christian School,The Canadian Reformed School Society of Calgary,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T1X0L3,51.05549835,-114.0335368
447,University School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2N3Z9,51.06945866,-114.133078
448,Valley Creek School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3A6J2,51.15025308,-114.1185272
449,Valley View School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2B0C6,51.03035961,-113.9790576
450,Varsity Acres School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3A0H7,51.09177675,-114.1477419
451,Vincent Massey School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T3C2B9,51.04469362,-114.153654
452,Vista Heights School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2E6J3,51.07339549,-114.0165409
453,Vista Virtual School,The Pembina Hills School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,,51.00119352,-114.0579985
454,Vista Virtual School South,The Pembina Hills School Division,Calgary,AB,Unknown,N,N,N,N,N,,51.00123403,-114.0580414
455,W. O. Mitchell School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3B4R9,51.11338258,-114.1952378
456,W.H.Cushing Workplace School,The Calgary School Division,Calgary,AB,Unknown,N,N,N,N,N,T2P1M6,51.04702342,-114.0650978
457,Webber Academy,Webber Academy Foundation,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3H4A8,51.04317761,-114.2269129
458,West Dalhousie School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3A2C8,51.11149168,-114.1690991
459,West Dover School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2B0G9,51.0264079,-113.99295
460,West Island College,West Island College Society of Alberta,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T2H1M5,50.98804408,-114.0517774
461,West Ridge School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3H5N9,51.05944441,-114.2149322
462,West Springs School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3H0P7,51.05851203,-114.2153975
463,West View School,The Calgary School Division,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T3R1J3,51.16207662,-114.2202678
464,Westbrook Outreach,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2G3C5,51.02213364,-114.0400855
465,Western Canada High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2S0B5,51.03746296,-114.0777213
466,Westgate School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3C2T3,51.04454124,-114.1597264
467,Westmount Elementary School,Westmount Charter School Society,Calgary,AB,Elementary,N,N,Y,N,N,T2N2V9,51.0581171,-114.1316163
468,Westmount Mid/High School,Westmount Charter School Society,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2N4Y3,51.07107587,-114.1332114
469,Wildwood School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3C2B3,51.05131376,-114.1517821
470,William Aberhart High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2M4G9,51.07862211,-114.1157158
471,William D. Pratt School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3G0A4,51.1512564,-114.221196
472,William Reid School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2T2E9,51.02190729,-114.0902188
473,William Roper Hull School,The Calgary School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2W2Z8,50.94884046,-114.1126762
474,Willow Park School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2J0K7,50.95768898,-114.0623993
475,Wilma Hansen School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,,50.93267341,-114.0182963
476,Woodbine School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2W5E1,50.93728667,-114.1290638
477,Woodlands School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2W4W9,50.93975896,-114.108301
478,Woodman School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2V1L2,50.97568924,-114.0831666
479,Wood's Homes School,The Calgary School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3B2B2,51.09635285,-114.2242599
480,Yufeng Chinese School,Yufeng Chinese School Centre,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3G4V5,51.14595992,-114.1829252
