SCHOOL_ID,NAME,BOARD,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,POSTAL_COD,LATITUDE,LONGITUDE
228,King George School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2M3M4,51.07106748,-114.0842002
229,Lady Fatima Academy,Lady Fatima Academy,Calgary,AB,Elementary,N,N,Y,N,N,T2G5G3,51.04307037,-114.0611213
230,Lake Bonavista School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J2L1,50.94482305,-114.0412106
231,Lakeshore School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3M1P6,50.89851364,-113.9502709
232,Le Roi Daniels School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2H1B9,50.98434011,-114.0582579
233,Lester B. Pearson High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T1Y5P4,51.0771687,-113.9577771
234,Light of Christ Catholic School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3J0L8,51.12961664,-113.9415266
235,Little Angels,Asasa Learning,Calgary,AB,Unknown,N,N,N,N,N,T2K3J6,51.08647181,-114.0895454
236,Lord Beaverbrook High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2H0Z4,50.97314868,-114.06217
237,Louis Riel School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2V0L1,50.96674943,-114.1319701
238,Louise Dean School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2N2P1,51.05318997,-114.1142224
239,Lycee Louis Pasteur,Lycee Louis Pasteur Society,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2T6G2,51.01764683,-114.1143612
240,MAC Islamic School - Calgary Chapter,Muslim Association of Canada,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3G1B5,51.11491616,-114.1811766
241,Madeleine D' Houet Bilingual School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2N2M8,51.05326521,-114.1123908
242,Mahogany School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,,50.90234116,-113.9265554
243,Manmeet Singh Bhullar School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3J4Z1,51.1233024,-113.9596853
244,Maple Ridge School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J1W3,50.96192386,-114.0420388
245,Maria Montessori School,"Maria Montessori Education Centre of Calgary, Ltd.",Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2N1K6,51.0628563,-114.1244036
246,Maria Montessori School - cSPACE King Edward Location,"Maria Montessori Education Centre of Calgary, Ltd.",Calgary,AB,Unknown,N,N,N,N,N,T2T6T7,51.02738979,-114.1004646
247,Marion Carson School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3A1A7,51.09313724,-114.1617331
248,Marlborough School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A3A1,51.05660552,-113.9654922
249,Marshall Springs School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Y4X5,50.9115067,-114.1133681
250,Master's Academy,The Palliser School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2T5J4,51.01540183,-114.1163456
251,Master's College,The Palliser School Division,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T2T5J4,51.01537483,-114.1163241
252,Mayland Heights School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2E6A2,51.05882109,-114.0070734
